station_complex_id,station_name,stop_lon,stop_lat,tract_geoid,median_household_income,total_population,non_white_population,non_white_share,minority_majority,income_quartile,peak_service_trips,routes_served,year,weekday,weekend,ridership_ratio,avg_daily_ridership
254,Junius St,-73.902447,40.663515,36047091000,16628.0,5392.0,4939.0,0.915986646884273,True,Q1,69,"2,3,4,5",2022.0,12653.434615384616,4861.390476190476,1.3684272988835582,8757.412545787545
254,Junius St,-73.902447,40.663515,36047091000,16628.0,5392.0,4939.0,0.915986646884273,True,Q1,69,"2,3,4,5",2022.0,12653.434615384616,4861.390476190476,0.525743376431821,8757.412545787545
254,Junius St,-73.902447,40.663515,36047091000,16628.0,5392.0,4939.0,0.915986646884273,True,Q1,69,"2,3,4,5",2023.0,13435.034615384617,5449.685714285714,1.4529547658771418,9442.360164835165
254,Junius St,-73.902447,40.663515,36047091000,16628.0,5392.0,4939.0,0.915986646884273,True,Q1,69,"2,3,4,5",2023.0,13435.034615384617,5449.685714285714,0.5893655697795406,9442.360164835165
254,Junius St,-73.902447,40.663515,36047091000,16628.0,5392.0,4939.0,0.915986646884273,True,Q1,69,"2,3,4,5",2024.0,13514.519083969466,5772.336538461538,1.4615507494938365,9643.427811215503
254,Junius St,-73.902447,40.663515,36047091000,16628.0,5392.0,4939.0,0.915986646884273,True,Q1,69,"2,3,4,5",2024.0,13514.519083969466,5772.336538461538,0.6242591942562223,9643.427811215503
255,Pennsylvania Av,-73.894895,40.664635,36047112600,69932.0,4634.0,4622.0,0.997410444540354,True,Q2,72,"2,3,4,5",2020.0,3387.7480916030536,1753.7211538461538,1.0,2570.7346227246035
255,Pennsylvania Av,-73.894895,40.664635,36047112600,69932.0,4634.0,4622.0,0.997410444540354,True,Q2,72,"2,3,4,5",2020.0,3387.7480916030536,1753.7211538461538,0.5176657491721316,2570.7346227246035
255,Pennsylvania Av,-73.894895,40.664635,36047112600,69932.0,4634.0,4622.0,0.997410444540354,True,Q2,72,"2,3,4,5",2021.0,3918.095785440613,2176.3846153846152,1.1565487396043674,3047.2402004126143
255,Pennsylvania Av,-73.894895,40.664635,36047112600,69932.0,4634.0,4622.0,0.997410444540354,True,Q2,72,"2,3,4,5",2021.0,3918.095785440613,2176.3846153846152,0.6424281134654166,3047.2402004126143
255,Pennsylvania Av,-73.894895,40.664635,36047112600,69932.0,4634.0,4622.0,0.997410444540354,True,Q2,72,"2,3,4,5",2022.0,4907.076923076923,2434.9142857142856,1.4484775108396373,3670.9956043956045
255,Pennsylvania Av,-73.894895,40.664635,36047112600,69932.0,4634.0,4622.0,0.997410444540354,True,Q2,72,"2,3,4,5",2022.0,4907.076923076923,2434.9142857142856,0.7187412463605299,3670.9956043956045
255,Pennsylvania Av,-73.894895,40.664635,36047112600,69932.0,4634.0,4622.0,0.997410444540354,True,Q2,72,"2,3,4,5",2023.0,5266.384615384615,2585.847619047619,1.55453843467228,3926.1161172161173
255,Pennsylvania Av,-73.894895,40.664635,36047112600,69932.0,4634.0,4622.0,0.997410444540354,True,Q2,72,"2,3,4,5",2023.0,5266.384615384615,2585.847619047619,0.7632939489972579,3926.1161172161173
255,Pennsylvania Av,-73.894895,40.664635,36047112600,69932.0,4634.0,4622.0,0.997410444540354,True,Q2,72,"2,3,4,5",2024.0,5537.946564885497,2808.846153846154,1.6346984531146138,4173.396359365825
255,Pennsylvania Av,-73.894895,40.664635,36047112600,69932.0,4634.0,4622.0,0.997410444540354,True,Q2,72,"2,3,4,5",2024.0,5537.946564885497,2808.846153846154,0.8291189539175658,4173.396359365825
256,Van Siclen Av,-73.889395,40.665449,36047112400,44375.0,3410.0,3283.0,0.9627565982404692,True,Q1,72,"2,3,4,5",2020.0,3470.057251908397,1786.875,1.0,2628.4661259541986
256,Van Siclen Av,-73.889395,40.665449,36047112400,44375.0,3410.0,3283.0,0.9627565982404692,True,Q1,72,"2,3,4,5",2020.0,3470.057251908397,1786.875,0.5149410716544484,2628.4661259541986
256,Van Siclen Av,-73.889395,40.665449,36047112400,44375.0,3410.0,3283.0,0.9627565982404692,True,Q1,72,"2,3,4,5",2021.0,3578.1264367816093,1982.2692307692307,1.0311433434747448,2780.19783377542
256,Van Siclen Av,-73.889395,40.665449,36047112400,44375.0,3410.0,3283.0,0.9627565982404692,True,Q1,72,"2,3,4,5",2021.0,3578.1264367816093,1982.2692307692307,0.5712497192024885,2780.19783377542
256,Van Siclen Av,-73.889395,40.665449,36047112400,44375.0,3410.0,3283.0,0.9627565982404692,True,Q1,72,"2,3,4,5",2022.0,4418.892307692307,2259.7809523809524,1.2734349859104162,3339.3366300366297
256,Van Siclen Av,-73.889395,40.665449,36047112400,44375.0,3410.0,3283.0,0.9627565982404692,True,Q1,72,"2,3,4,5",2022.0,4418.892307692307,2259.7809523809524,0.6512229592575628,3339.3366300366297
256,Van Siclen Av,-73.889395,40.665449,36047112400,44375.0,3410.0,3283.0,0.9627565982404692,True,Q1,72,"2,3,4,5",2023.0,4994.307692307692,2902.133333333333,1.439258009233426,3948.220512820513
256,Van Siclen Av,-73.889395,40.665449,36047112400,44375.0,3410.0,3283.0,0.9627565982404692,True,Q1,72,"2,3,4,5",2023.0,4994.307692307692,2902.133333333333,0.8363358649881849,3948.220512820513
256,Van Siclen Av,-73.889395,40.665449,36047112400,44375.0,3410.0,3283.0,0.9627565982404692,True,Q1,72,"2,3,4,5",2024.0,4951.095419847328,2996.451923076923,1.426805110239728,3973.7736714621255
256,Van Siclen Av,-73.889395,40.665449,36047112400,44375.0,3410.0,3283.0,0.9627565982404692,True,Q1,72,"2,3,4,5",2024.0,4951.095419847328,2996.451923076923,0.8635165663128441,3973.7736714621255
257,New Lots Av,-73.884079,40.666235,36047112400,44375.0,3410.0,3283.0,0.9627565982404692,True,Q1,70,"2,3,4,5",2020.0,2251.8969465648856,1080.4807692307693,1.0,1666.1888578978273
257,New Lots Av,-73.884079,40.666235,36047112400,44375.0,3410.0,3283.0,0.9627565982404692,True,Q1,70,"2,3,4,5",2020.0,2251.8969465648856,1080.4807692307693,0.4798091541795323,1666.1888578978273
257,New Lots Av,-73.884079,40.666235,36047112400,44375.0,3410.0,3283.0,0.9627565982404692,True,Q1,70,"2,3,4,5",2021.0,2228.662835249042,1201.0961538461538,0.989682426919542,1714.879494547598
257,New Lots Av,-73.884079,40.666235,36047112400,44375.0,3410.0,3283.0,0.9627565982404692,True,Q1,70,"2,3,4,5",2021.0,2228.662835249042,1201.0961538461538,0.5333708346105018,1714.879494547598
257,New Lots Av,-73.884079,40.666235,36047112400,44375.0,3410.0,3283.0,0.9627565982404692,True,Q1,70,"2,3,4,5",2022.0,2671.2615384615383,1371.3238095238096,1.1862272572181265,2021.2926739926738
257,New Lots Av,-73.884079,40.666235,36047112400,44375.0,3410.0,3283.0,0.9627565982404692,True,Q1,70,"2,3,4,5",2022.0,2671.2615384615383,1371.3238095238096,0.6089638389606017,2021.2926739926738
