station_complex_id,year,day_type,avg_daily_ridership,ridership_ratio
127,2023,weekday,8459.61923076923,1.733600393632212
127,2023,weekend,5423.619047619048,1.1114434183592194
127,2024,weekday,8916.17175572519,1.8271601172304883
127,2024,weekend,5808.817307692308,1.1903807602268777
129,2020,weekday,3220.2519083969464,1.0
129,2020,weekend,1525.2788461538462,0.47365202771143944
129,2021,weekday,3995.256704980843,1.2406658915605446
129,2021,weekend,2747.1826923076924,0.8530955870701589
129,2022,weekday,4884.915384615385,1.5169357937115902
129,2022,weekend,3033.3809523809523,0.9419700814309837
129,2023,weekday,5394.253846153846,1.67510306634338
129,2023,weekend,3032.3333333333335,0.9416447593514014
129,2024,weekday,5298.744274809161,1.6454440290812204
129,2024,weekend,3218.25,0.9993783379518458
13,2020,weekday,3806.4503816793895,1.0
13,2020,weekend,1812.75,0.47623108624372046
13,2021,weekday,4170.773946360153,1.095712153883384
13,2021,weekend,3181.048076923077,0.8356993413689561
13,2022,weekday,6234.915384615385,1.6379867749292891
13,2022,weekend,4754.133333333333,1.2489676356258794
13,2023,weekday,7911.442307692308,2.0784304310836212
13,2023,weekend,6138.571428571428,1.6126760664257278
13,2024,weekday,8718.637404580153,2.290490228519287
13,2024,weekend,6605.336538461538,1.7353008383488482
130,2020,weekday,1822.645038167939,1.0
130,2020,weekend,1000.1057692307693,0.5487112127087794
130,2021,weekday,2267.8505747126437,1.244263434306556
130,2021,weekend,1579.2211538461538,0.8664447112716656
130,2022,weekday,2811.742307692308,1.5426713643148948
130,2022,weekend,1822.701923076923,1.0000312100863267
130,2023,weekday,2975.1923076923076,1.6323487269264838
130,2023,weekend,1710.2,0.9383066719996315
130,2024,weekday,3012.4503816793895,1.6527904877778081
130,2024,weekend,1873.298076923077,1.0277909508952179
131,2020,weekday,926.4083969465648,1.0
131,2020,weekend,517.4411764705883,0.5585454300458313
131,2021,weekday,1238.7547892720306,1.337158421010601
131,2021,weekend,896.5961538461538,0.9678195456791282
131,2022,weekday,1566.6807692307693,1.6911340337528649
131,2022,weekend,1087.1359223300972,1.1734953244306605
131,2023,weekday,1705.6153846153845,1.8411052730492081
131,2023,weekend,1020.3398058252427,1.1013930888237575
131,2024,weekday,1764.8473282442749,1.9050424565031994
131,2024,weekend,1130.0288461538462,1.2197955565584389
133,2020,weekday,767.5572519083969,1.0
133,2020,weekend,279.13592233009706,0.3636678848855566
133,2021,weekday,929.1417624521073,1.2105178605790756
133,2021,weekend,347.29,0.4524613625062159
133,2022,weekday,1120.5192307692307,1.4598510117431052
133,2022,weekend,460.9230769230769,0.600506445319971
133,2023,weekday,1178.623076923077,1.5355507019087329
133,2023,weekend,542.7142857142857,0.7070668466292533
133,2024,weekday,1390.0763358778627,1.8110392839383394
133,2024,weekend,522.9230769230769,0.6812821787859082
134,2020,weekday,1556.9389312977098,1.0
134,2020,weekend,699.8076923076923,0.4494766482102172
134,2021,weekday,1681.16091954023,1.0797860376829174
134,2021,weekend,684.495145631068,0.43964161462681184
134,2022,weekday,1668.1038461538462,1.0713996629035927
134,2022,weekend,693.5809523809523,0.4454773006432899
134,2023,weekday,1583.6076923076923,1.0171289704906756
134,2023,weekend,693.1809523809524,0.44522038626343907
134,2024,weekday,1809.1946564885495,1.162020308003079
134,2024,weekend,677.0388349514564,0.43485253104124255
135,2020,weekday,1446.8702290076335,1.0
135,2020,weekend,642.8173076923077,0.4442812456879409
135,2021,weekday,1297.1149425287356,0.8964970848964038
135,2021,weekend,531.2135922330098,0.36714667396076966
135,2022,weekday,1737.6115384615384,1.200944980154382
135,2022,weekend,790.5192307692307,0.5463649848621358
135,2023,weekday,1927.3115384615385,1.332055563672373
135,2023,weekend,947.0761904761905,0.6545688559268806
135,2024,weekday,1886.3053435114505,1.3037142555661076
135,2024,weekend,827.7019230769231,0.572063690635628
136,2020,weekday,2009.5152671755725,1.0
136,2020,weekend,814.5096153846154,0.40532641313515894
136,2021,weekday,2203.4865900383143,1.096526424074087
136,2021,weekend,844.9711538461538,0.4204850630638818
136,2022,weekday,2374.1115384615387,1.1814349347036393
136,2022,weekend,981.1142857142858,0.48823430293877196
136,2023,weekday,2327.9192307692306,1.1584481435869773
136,2023,weekend,1029.4,0.5122628411014012
136,2024,weekday,2324.793893129771,1.1568928741692672
136,2024,weekend,925.1634615384615,0.46039135738381504
137,2020,weekday,1574.648854961832,1.0
137,2020,weekend,597.7788461538462,0.37962676203662926
137,2021,weekday,1599.0804597701149,1.0155155892256849
137,2021,weekend,568.4077669902913,0.3609742992535748
137,2022,weekday,1825.15,1.1590838136698356
137,2022,weekend,671.2952380952381,0.42631424522358646
137,2023,weekday,2019.173076923077,1.2823005399334062
137,2023,weekend,793.7523809523809,0.5040821504116362
137,2024,weekday,1926.5916030534352,1.2235055434629798
137,2024,weekend,661.9519230769231,0.42038065883137365
138,2020,weekday,4377.969465648855,1.0
138,2020,weekend,1720.451923076923,0.392979424954015
138,2021,weekday,3630.551724137931,0.8292775343968395
138,2021,weekend,1424.9615384615386,0.3254845767295333
138,2022,weekday,2773.5307692307692,0.6335198979784814
138,2022,weekend,1105.8380952380953,0.2525915504698935
138,2023,weekday,2290.146153846154,0.523106927039002
138,2023,weekend,1011.9333333333333,0.2311421633415517
138,2024,weekday,1826.6946564885495,0.4172470070477792
138,2024,weekend,727.2019230769231,0.16610484124725278
14,2020,weekday,6464.034351145038,1.0
